"(M - mandatory;
O - optional;
* - suggestive enums available here)",Attribute,,,,,,,,,,,,,,,,,,,,,,
Category,Brand,Colour*,Colour Name,Gender*,Concern*,Ingredient*,Conscious*,Preference*,Formulation*,Skin Type*,Model,Special Feature*,Includes,Weight,Length,Breadth,Height,Battery,Power Input,Warranty,Wattage,Voltage,Comments
Fragrance,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Bath Soaps and Gels,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
"Hair Oils, Care, and Styling",M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Shampoos and Conditioners,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Shaving and Grooming,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Beard Care and Tools,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Grooming Tools and Accessories,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Nail Care,M,M,M,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Eyes,M,M,M,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Face,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Lips,M,M,M,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Body,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Remover,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Sets and Kits,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Tools and Brushes,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Makeup - Kits and Combos,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Skin Care - Face Cleansers,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Skin Care - Hand and Feet,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Body Care - Cleansers,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Body Care - Moisturizers,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Body Care - Loofah and Other Tools,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Body Care - Bath Salt and Additives,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
"Hair Care - Shampoo, Oils, Conditioners",M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
"Skin Care - Lotions, Moisturisers, and Creams",M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Skin Care - Oils and Serums,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Gift Voucher,,,,,,,,,,,,,,,,,,,,,,,
Trimmer,M,O,O,,,,,,,,M ,M,M,M,M,M,M,O,O,O,O,,Moved from Appliances (RET15)
Shaver,M,O,O,,,,,,,,M ,M,M,M,M,M,M,O,O,O,O,,
Epilator,M,O,O,,,,,,,,M ,M,M,M,M,M,M,O,O,O,O,,
Hair Straightener,M,M,M,,,,,,,,M ,M,M,M,M,M,M,,,O,,,
Hair Dryer,M,M,M,,,,,,,,M ,M,M,M,M,M,M,,O,O,O,O,
Hair Curler,M,M,M,,,,,,,,M ,M,M,M,M,M,M,,O,O,O,O,
Hair Crimper,M,M,M,,,,,,,,M ,M,M,M,M,M,M,,O,O,O,O,
Hair Care - Colour,M,M,M,O,O,O,O,O,O,O,,,,,,,,,,,,,
Bath & Body,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,Deprecated
Feminine Care,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Hair Care,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Make Up,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Men's Grooming,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Oral Care,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Skin Care,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Maternity Care,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Nursing & Feeding,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Sexual Wellness & Sensuality,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
Tools & Accessories,M,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
